id,username,text,keywords,date,location
1189671238169436161,bekencita503,"Hoy, me quedé sin trabajo... Cómo muchas personas que en toda esta revolución han perdido algo, esta vez yo perdí mí empleo, no por mí, por la situación de hoy en día, este día será amargo y con sentimientos de rabia y de querer paz :'c
#30Oct 
#RenunciaPiñera",['#RenunciaPiñera'],2019-10-30 22:31:40,"Puente Alto, Chile"
1189691547429851138,ralex_alex,"@e_ahumada @mirnaschindler No venía mal, lo mantenían mal para peor #renunciapiñera #piñerarenuncia",['#RenunciaPiñera'],2019-10-30 23:52:22,"Iquique, Chile"
1189691624286228486,crissxmendoza,#PazParaChile #piñeraasesino #piñeradictador #renunciapiñera cuando sean juzgados los asesinos habrá #PazParaChile,['#RenunciaPiñera'],2019-10-30 23:52:41,
1189687100662140928,lvaroGu64703525,#renunciapiñera #piñerarenuncia #piñeradictador #deletepiñera en Cerro Santa Lucía https://t.co/5OylL7E98h,['#RenunciaPiñera'],2019-10-30 23:34:42,Planeta Tierra 
1189667526357274626,antipacx,"30 de Octubre, 2019.
Maipú, Santiago de Chile.
Asamblea junto a estación de metro.
Concentración.

#CHILESECANSÓ #ChileDesperto #ChileProtests #Protestaschile #RenunciaPiñera #CACEROLAZONACIONAL https://t.co/cFa2xxVTfM",['#RenunciaPiñera'],2019-10-30 22:16:55,
1189676066450882565,pveas26,Solo una estupida sigue a @sebastianpinera y esa es una tarada cabeza con agua de @paulinanu #Renunciapiñera y #fuerapaulinanuñez .,['#RenunciaPiñera'],2019-10-30 22:50:52,"La Cruz, Chile"
1189673801828765697,condesa_de_mar,#RenunciaPiñera ... piénsalo. https://t.co/4sAzpNCCQc,['#RenunciaPiñera'],2019-10-30 22:41:52,Chile
1189659957706276864,JIPS71,Mago Valdivia repartiendo empanadas.... me huele algo raro con esto y no es el pino de la empana... #renunciapiñera #Montajes https://t.co/VBv64BnPWV,['#RenunciaPiñera'],2019-10-30 21:46:51,santiago chile
1189679243782971394,FundidaTaimada,"Date cuenta que #Chile no te cree, ¡hasta los que votaron por ti, NO TE CREEN! Jamás llegaron los #TiemposMejores que le prometiste a tanta gente...

#PiñeraVerguenzaMundial debería darte al no poder cumplir NADA: #APEC #cop25chile 

#RenunciaPiñera",['#RenunciaPiñera'],2019-10-30 23:03:29,"Winterfell, Chile ❤️"
1189692224633745408,jjcc_chile,"🔴 [MAÑANA] Desde la CoNES convocan a Cabildo y Campamento de la Juventud, por una #AsambleaConstituyente y que #RenunciaPiñera, en Tarapacá con Bulnes a las 12:00 hrs. 📣✊🏻🇨🇱🔴🚩 https://t.co/DjRUrfCwgn",['#RenunciaPiñera'],2019-10-30 23:55:04,Chile
1189661349065957384,Zurdaca,@sebastianpinera Nadie te cree #RENUNCIAPIÑERA,['#RenunciaPiñera'],2019-10-30 21:52:23,"South Carolina, USA"
1189658718201364481,Arhanko,"En estos momentos disuelven la manif. los pacos con agua, gas...🇨🇱✊🏻 #EstoNoHaTerminado #Chile #RenunciaPiñera #ChileNoSeRinde #EstoNoHaAcabado #LaMarchaMasGrandeDeChile2 https://t.co/vVIHMm2dLX",['#RenunciaPiñera'],2019-10-30 21:41:55,
1189683763560751104,fakediamond00,#piñeraverguenzamundial y donde quedó el apoyo  internacional del #renunciapiñera #micdrop,['#RenunciaPiñera'],2019-10-30 23:21:27,
1189667026077392897,DelCantoNunez,Ahora te toca @sebastianpinera  #RenunciaPiñera https://t.co/vaY0MAoWmq,['#RenunciaPiñera'],2019-10-30 22:14:56,
1189688209673994242,lvaroGu64703525,#renunciapiñera #piñerarenuncia #piñeradictador #deletepiñera en Barrio Lastarria https://t.co/EsNR8okxau,['#RenunciaPiñera'],2019-10-30 23:39:07,Planeta Tierra 
1189659729469030400,fabianmardones,Ministra de carerrajismo... #PiñeraVeteYa #RenunciaPiñera https://t.co/OBqVMDKpUO,['#RenunciaPiñera'],2019-10-30 21:45:56,YA NAVAL!
1189689300012740608,lvaroGu64703525,#renunciapiñera #piñerarenuncia #piñeradictador #deletepiñera en Plaza Italia https://t.co/4gkG14kJMV,['#RenunciaPiñera'],2019-10-30 23:43:27,Planeta Tierra 
1189691640132321281,SolisLoyola,"@DMatamala JA!
La calidad de ministra que tenemos...
Pero era más urgente cambiar a la ministra de deportes!
#renunciapiñera",['#RenunciaPiñera'],2019-10-30 23:52:45,"Santiago, Chile"
1189661867997827072,vichopasivo,@sebastianpinera Este domingo estoy de cumpleaños espero que el  #Renunciapinera sea una realidad.,[],2019-10-30 21:54:26,
1189659886780637184,Dlirante,"Too el rato, suena la raja además #RenunciaPiñera #EstoNoPrendio #EstoNoSeAcaba  #PlebiscitoYa #PlebiscitoAhora https://t.co/B0OvDn47iJ",['#RenunciaPiñera'],2019-10-30 21:46:34,
1189670397958070273,FidelB76806540,"@TVN Carabineros impiden que gente se junte en plaza de Concepción, #ParoNacional #ChileDesperto #RenunciaPiñera",['#RenunciaPiñera'],2019-10-30 22:28:20,
